,addr,response
0,112.66.177.145:83,Connection refused
1,112.66.177.145:83,Connection refused
2,112.66.177.145:83,Connection refused
0,200.91.202.66:83,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<userCheck>
<statusValue>401</statusValue>
<statusString>Unauthorized</statusString>
"
1,200.91.202.66:83,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<userCheck>
<statusValue>401</statusValue>
<statusString>Unauthorized</statusString>
"
2,200.91.202.66:83,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<userCheck>
<statusValue>401</statusValue>
<statusString>Unauthorized</statusString>
"
0,129.126.115.209:83,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<ResponseStatus version=""1.0"" xmlns=""http://www.hikvision.com/ver20/XMLSchema"">
<requestURL>/ISAPI/Security/sessionLogin</requestURL>
<statusCode>6</statusCode>
<statusString>Invalid XML Content</statusString>
<subStatusCode>badXmlContent</subStatusCode>
<subStatusString>Tag 4 is invalid (two root tags)</subStatusString>
</ResponseStatus>
"
1,129.126.115.209:83,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<ResponseStatus version=""1.0"" xmlns=""http://www.hikvision.com/ver20/XMLSchema"">
<requestURL>/ISAPI/Security/sessionLogin</requestURL>
<statusCode>6</statusCode>
<statusString>Invalid XML Content</statusString>
<subStatusCode>badXmlContent</subStatusCode>
<subStatusString>Tag 4 is invalid (two root tags)</subStatusString>
</ResponseStatus>
"
2,129.126.115.209:83,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<ResponseStatus version=""1.0"" xmlns=""http://www.hikvision.com/ver20/XMLSchema"">
<requestURL>/ISAPI/Security/sessionLogin</requestURL>
<statusCode>6</statusCode>
<statusString>Invalid XML Content</statusString>
<subStatusCode>badXmlContent</subStatusCode>
<subStatusString>Tag 4 is invalid (two root tags)</subStatusString>
</ResponseStatus>
"
0,195.87.68.78:83,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<ResponseStatus version=""1.0"" xmlns=""http://www.hikvision.com/ver20/XMLSchema"">
<requestURL>/ISAPI/Security/sessionLogin</requestURL>
<statusCode>6</statusCode>
<statusString>Invalid XML Content</statusString>
<subStatusCode>badXmlContent</subStatusCode>
</ResponseStatus>
"
1,195.87.68.78:83,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<ResponseStatus version=""1.0"" xmlns=""http://www.hikvision.com/ver20/XMLSchema"">
<requestURL>/ISAPI/Security/sessionLogin</requestURL>
<statusCode>6</statusCode>
<statusString>Invalid XML Content</statusString>
<subStatusCode>badXmlContent</subStatusCode>
</ResponseStatus>
"
2,195.87.68.78:83,"<?xml version=""1.0"" encoding=""UTF-8"" ?>
<ResponseStatus version=""1.0"" xmlns=""http://www.hikvision.com/ver20/XMLSchema"">
<requestURL>/ISAPI/Security/sessionLogin</requestURL>
<statusCode>6</statusCode>
<statusString>Invalid XML Content</statusString>
<subStatusCode>badXmlContent</subStatusCode>
</ResponseStatus>
"
0,171.249.4.7:83,Connection refused
1,171.249.4.7:83,Connection refused
2,171.249.4.7:83,Connection refused
