,addr,response
0,54.184.242.201:80,Connection refused
1,54.184.242.201:80,Connection refused
2,54.184.242.201:80,Connection refused
3,54.184.242.201:80,Connection refused
4,54.184.242.201:80,Connection refused
5,54.184.242.201:80,Connection refused
6,54.184.242.201:80,Connection refused
7,54.184.242.201:80,Connection refused
8,54.184.242.201:80,Connection refused
9,54.184.242.201:80,Connection refused
10,54.184.242.201:80,Connection refused
11,54.184.242.201:80,Connection refused
12,54.184.242.201:80,Connection refused
13,54.184.242.201:80,Connection refused
14,54.184.242.201:80,Connection refused
15,54.184.242.201:80,Connection refused
16,54.184.242.201:80,Connection refused
17,54.184.242.201:80,Connection refused
18,54.184.242.201:80,Connection refused
19,54.184.242.201:80,Connection refused
20,54.184.242.201:80,Connection refused
21,54.184.242.201:80,Connection refused
22,54.184.242.201:80,Connection refused
23,54.184.242.201:80,Connection refused
24,54.184.242.201:80,Connection refused
25,54.184.242.201:80,Connection refused
26,54.184.242.201:80,Connection refused
27,54.184.242.201:80,Connection refused
28,54.184.242.201:80,Connection refused
29,54.184.242.201:80,Connection refused
30,54.184.242.201:80,Connection refused
31,54.184.242.201:80,Connection refused
32,54.184.242.201:80,Connection refused
33,54.184.242.201:80,Connection refused
34,54.184.242.201:80,Connection refused
35,54.184.242.201:80,Connection refused
36,54.184.242.201:80,Connection refused
37,54.184.242.201:80,Connection refused
38,54.184.242.201:80,Connection refused
39,54.184.242.201:80,Connection refused
40,54.184.242.201:80,Connection refused
41,54.184.242.201:80,Connection refused
42,54.184.242.201:80,Connection refused
43,54.184.242.201:80,Connection refused
44,54.184.242.201:80,Connection refused
45,54.184.242.201:80,Connection refused
46,54.184.242.201:80,Connection refused
47,54.184.242.201:80,Connection refused
48,54.184.242.201:80,Connection refused
49,54.184.242.201:80,Connection refused
50,54.184.242.201:80,Connection refused
51,54.184.242.201:80,Connection refused
52,54.184.242.201:80,Connection refused
53,54.184.242.201:80,Connection refused
54,54.184.242.201:80,Connection refused
55,54.184.242.201:80,Connection refused
56,54.184.242.201:80,Connection refused
57,54.184.242.201:80,Connection refused
58,54.184.242.201:80,Connection refused
59,54.184.242.201:80,Connection refused
60,54.184.242.201:80,Connection refused
61,54.184.242.201:80,Connection refused
62,54.184.242.201:80,Connection refused
63,54.184.242.201:80,Connection refused
64,54.184.242.201:80,Connection refused
65,54.184.242.201:80,Connection refused
66,54.184.242.201:80,Connection refused
67,54.184.242.201:80,Connection refused
68,54.184.242.201:80,Connection refused
69,54.184.242.201:80,Connection refused
70,54.184.242.201:80,Connection refused
71,54.184.242.201:80,Connection refused
72,54.184.242.201:80,Connection refused
73,54.184.242.201:80,Connection refused
74,54.184.242.201:80,Connection refused
75,54.184.242.201:80,Connection refused
76,54.184.242.201:80,Connection refused
77,54.184.242.201:80,Connection refused
78,54.184.242.201:80,Connection refused
79,54.184.242.201:80,Connection refused
80,54.184.242.201:80,Connection refused
81,54.184.242.201:80,Connection refused
82,54.184.242.201:80,Connection refused
83,54.184.242.201:80,Connection refused
84,54.184.242.201:80,Connection refused
85,54.184.242.201:80,Connection refused
86,54.184.242.201:80,Connection refused
87,54.184.242.201:80,Connection refused
88,54.184.242.201:80,Connection refused
89,54.184.242.201:80,Connection refused
90,54.184.242.201:80,Connection refused
91,54.184.242.201:80,Connection refused
92,54.184.242.201:80,Connection refused
93,54.184.242.201:80,Connection refused
94,54.184.242.201:80,Connection refused
95,54.184.242.201:80,Connection refused
96,54.184.242.201:80,Connection refused
97,54.184.242.201:80,Connection refused
98,54.184.242.201:80,Connection refused
99,54.184.242.201:80,Connection refused
100,54.184.242.201:80,Connection refused
101,54.184.242.201:80,Connection refused
102,54.184.242.201:80,Connection refused
103,54.184.242.201:80,Connection refused
104,54.184.242.201:80,Connection refused
105,54.184.242.201:80,Connection refused
106,54.184.242.201:80,Connection refused
107,54.184.242.201:80,Connection refused
108,54.184.242.201:80,Connection refused
109,54.184.242.201:80,Connection refused
110,54.184.242.201:80,Connection refused
111,54.184.242.201:80,Connection refused
112,54.184.242.201:80,Connection refused
113,54.184.242.201:80,Connection refused
114,54.184.242.201:80,Connection refused
